분기,1st,2nd,3rd
16-3,한국전력Z값,현대 모비스Z값,현대차Z값
16-4,현대 모비스Z값,현대차Z값,한국전력Z값
17-1,현대 모비스Z값,현대차Z값,한국전력Z값
17-2,삼성전자Z값,LG 화학Z값,KB 금융Z값
17-3,한국전력Z값,SK 텔레콤Z값,삼성전자Z값
17-4,삼성전자Z값,현대차Z값,포스코 케미칼Z값
18-1,삼성전자Z값,SK 텔레콤Z값,포스코 케미칼Z값
18-2,SK 텔레콤Z값,NAVERZ값,삼성전자Z값
18-3,SK 텔레콤Z값,삼성전자Z값,포스코 케미칼Z값
18-4,삼성바이오로직스Z값,삼성물산Z값,포스코 케미칼Z값
19-1,LG 생활건강Z값,포스코 케미칼Z값,현대차Z값
19-2,현대 모비스Z값,KB 금융Z값,LG 생활건강Z값
19-3,LG 생활건강Z값,포스코 케미칼Z값,현대 모비스Z값
19-4,삼성바이오로직스Z값,현대 모비스Z값,삼성물산Z값
20-1,LG 생활건강Z값,삼성물산Z값,삼성바이오로직스Z값
20-2,KB 금융Z값,LG 생활건강Z값,삼성바이오로직스Z값
20-3,KB 금융Z값,한국전력Z값,LG 생활건강Z값
20-4,NAVERZ값,삼성바이오로직스Z값,현대차Z값
21-1,LG 화학Z값,삼성물산Z값,NAVERZ값
