결산년도,KB 금융Z값,LG 생활건강Z값,LG 화학Z값,NAVERZ값,SK 텔레콤Z값,삼성물산Z값,삼성바이오로직스Z값,삼성전자Z값,포스코 케미칼Z값,한국전력Z값,현대 모비스Z값,현대차Z값
16년09월(3Q),-0.9106086256429693,0.22488293070067808,-0.1363256233316831,0.237277045071195,-0.7189919704757718,-0.7630708674183633,-0.2697986197669713,-1.2695860219531423,-0.4656228978223457,2.7061031020591844,1.088004843249518,0.7050483894371652
16년12월(4Q),-1.3427790734912255,-2.2028305257270944,-0.216284072527801,0.06645413439797762,-0.10584296044681434,-0.20991426365208354,-0.9623606136224581,-0.35455258275165336,-0.12977900948295143,0.09703316978735332,1.0460269935704039,0.5978072523403934
17년03월(1Q),0.262263403425527,-0.0004088780558192051,0.5952650048970305,0.3822517521557018,0.33131701524879886,-0.5538735590458916,-0.6719705846198943,-0.14055080119807978,-0.05023703592888438,0.7059502694882113,1.368356910749315,1.3203980340984411
17년06월(2Q),0.7050207038894887,-0.23929588216831202,0.7184126894253581,-0.06166304860693539,0.4799835511011673,-0.932861240957881,-0.5383182700162039,1.0685018529681949,-0.5274888772532867,0.1749510065580997,-0.029405536304040802,0.2649307627920141
17년09월(3Q),0.2993173875804956,0.13748524626927827,0.5876777067981288,0.4373196641490416,1.173091049331804,-0.8272895760350291,-0.65496029003397,1.1185576016716214,0.5949367495652151,1.3234049659133198,-0.029405536304040802,0.31983822498556125
17년12월(4Q),-1.000218770997332,-1.9134470817209037,-0.01755522616810655,-0.05492003897509786,0.6411059318492748,-1.2116288169984073,-0.39251574499399616,1.4995195256746883,0.8335626702274163,-1.4989086178734128,-3.281689413823969,1.067737915098447
18년03월(1Q),0.5677697217644518,0.30839627360179345,0.6086886861489335,-0.25945799780750284,0.7728968068751582,0.36221604947821107,-0.8372134463117298,1.2962106567473664,0.7009927143039713,-0.42307329732216276,-0.11086255413375014,-0.12542697624023483
18년06월(2Q),0.486099715871868,0.13360090473899383,0.4356399256624448,1.1790507236511696,1.660476206058623,0.14912669815927482,-0.5067277229280589,1.0647342159690123,0.7540206966733493,-1.0787018457671962,0.32390803182850214,0.04422850264685798
18년09월(3Q),0.5133230511693959,0.5181507162371529,0.0072494022321489965,-1.219213035405711,2.204917168436891,-0.3198644768897082,-0.5978543010669387,1.8208810205763994,1.2047585468130626,0.546287397415158,-0.19231957196345947,-1.0382635352079554
18년12월(4Q),-2.364788452785921,-1.5386081240484557,-0.6347527445979946,-0.5943608095221,-0.10664656334331363,2.4478645634149228,3.5854631460285717,0.1385413947985157,0.7451826996117862,-0.9060853786642454,-0.34124099106317346,-2.1306217576756716
19년03월(1Q),0.10459491982734423,0.8793944785536055,-0.3858310031224889,-1.00343672718691,-0.5120642246272049,-0.38456969087468196,-0.7169263631684084,-1.0881294476210797,0.8247246731658533,-0.924240038365238,-0.011415029298706227,0.35115263701781857
19년06월(2Q),0.6551112558440207,0.6016640591382684,-0.7596513440722225,-1.6754900204933836,-0.9721268828730478,-0.457545496120893,-0.420461228956586,-1.0389707553460301,-0.014885047682632354,-0.5817548364384056,0.7821662241588301,0.4487420717758808
19년09월(3Q),0.4630355012447957,0.7104256219862325,-0.6038199138870877,-1.0292849307756204,-0.9106512612908523,-0.1773184039754426,-0.009784116810700785,-0.6417182866036402,0.5684227583805261,0.05934998424583367,0.46883156048258623,-0.706888421578931
19년12월(4Q),-1.070545720515946,-0.9074026253772349,-1.1699490797282142,0.2170480161756824,-2.199630307275712,0.2512928255039703,0.6730577087099722,-1.0223213880353563,-0.766114797915488,-1.4836979570428515,0.46983103309399366,-0.038561655191849765
20년03월(1Q),-0.2999740908442518,1.0425368228255518,-0.8982654439560035,-0.47186280121038493,-0.7836820036439646,0.21966997656394552,0.1761141025926141,-1.14507458969444,-0.8279807773464289,-0.12464994515611777,-0.6960537681128276,-0.5091357647724839
20년06월(2Q),0.658892274635344,0.4676542763434553,0.2188182915284463,-0.9685978440890828,-0.27660857595291327,-0.39284028213591926,0.3620123219959289,-0.9045917023751828,-2.7193121485209124,0.021863065295676092,-1.2662528929207928,-0.885337673707959
20년09월(3Q),1.4215237648452592,0.9939825536969964,0.660340677052995,0.6564674771837612,-0.42326610456403346,0.10680073111647241,0.4118281847118499,0.46094347515714396,-1.4731545628405285,1.0506925372157074,-0.4836658381887388,-2.099521827917608
20년12월(4Q),-0.9136334406760279,-0.7364915980447198,-2.0063027855533013,2.328733865879468,-0.5393867231081807,-0.15347964092834698,0.8990516224943942,-0.527110357314218,-0.6865728243614209,0.39653598820588976,0.3194104050771685,0.8436039385661942
21년03월(1Q),1.765596474855682,1.5203108310505373,2.9966448531994176,1.8336845754087294,0.28510984870008976,2.847285470795851,0.47136421576258475,-0.3352838106701193,1.4345464704137008,-0.06105956955480336,0.5757751299031861,1.570269883533919
